Sigla,Código,Região,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
CO,5,Região Centro-oeste,631704,670833,683466,851928,916724,1097459,1189814,1332623,1498195,1084698,1290584,1416257,1561599,1563904,1682835,1587185,1699572,1971951,1529281,1794364,1856422,1731791,1508226,1801330,1995074,
N,1,Região Norte,301696,317515,371143,509863,518834,653467,673729,763759,857270,821058,921781,946072,926149,933706,1051946,948348,905534,802915,890099,1023003,999484,1129658,1252765,1283375,1262999,
NE,2,Região Nordeste,3748108,3799504,5560006,7967658,10401191,10910916,12102924,11598423,14152170,15143621,13116528,16911251,7700032,7533669,10555158,12305251,10458385,12806050,14126096,15588516,19338339,20244963,24625523,25634101,26527239,
S,4,Região Sul,12670098,12730601,12277442,15357099,15266363,15815522,16422483,15468169,15759766,16501313,16532253,16180568,16659224,17738430,16462708,14119128,17146509,16480865,16627518,17833466,20391853,22204521,22693682,21837017,22180757,
SE,3,Região Sudeste,4513538,4686222,5136595,5335856,5187350,5272302,5804918,5584142,5569033,5478941,6211527,6338627,7084499,7594819,8728769,8899281,9467393,9633966,9234358,9849582,9907037,10367601,12413960,13608360,15347917,
