Sigla,Código,Região,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
CO,5,Região Centro-oeste,8975.62525895459,9148.6916597751,9291.6566440899,10968.107158021,11783.0653037563,13488.1325672569,15080.1820575494,16829.6083625223,15867.0395833533,12308.2173679008,12522,12270.2850247076,12902.5663675076,12781.5303781269,14266.7372777029,14459.9261098647,16662.0985643522,18997.613537589,15137.2757837686,16286.3382015067,17524.2900080727,16893.2889905467,15920.0779329732,18176.4275942716,21209.3046982423,
N,1,Região Norte,4751.9343989187,4666.1247703876,4557.49014294991,5391.63974156159,5139.7344524967,5618.4969401441,5912.7138690874,7299.11644932551,8439.0729704532,7721.9101562895,9037,9188.63492972049,9330.11378119714,9100.45599373794,10987.0106005226,10171.6682030597,9564.60917779322,7950.04171488616,8623.60335764539,9340.51218732653,10188.0252618601,12477.7588415627,13356.6646227837,14562.8936038502,14624.036962836,
NE,2,Região Nordeste,24145.6961191596,19129.6514390815,35948.8895269014,61244.5649581404,64170.959974263,53510.9330952919,58623.2984113195,55490.7512550188,61993.9675911598,70249.6493746511,62508,67408.5570208451,40296.7862237496,39736.0324782961,56578.6047427742,70387.6422166558,68846.5351873721,84191.9942600094,78691.1126434169,67982.7918427205,103919.335267096,142004.644617986,157642.17932144,124809.207103648,134751.799298724,
S,4,Região Sul,102407.008110458,97185.5544487302,100390.166366838,130887.965881834,127272.558480975,118434.348198523,115500.669008935,100400.504848105,96826.523432385,95987.1814288463,96302,90689.8787989714,90388.0965122411,95828.8597141104,94547.748197823,90632.2245625513,134061.221363478,131810.859424012,127283.940499865,121835.137282706,136856.535967344,150592.031510967,151431.427012536,136603.687192094,141192.110787771,
SE,3,Região Sudeste,50955.1844429354,49160.1379474653,55765.1378308262,60914.8723488701,58748.4319544796,52944.1927485417,57949.7151498596,51601.3486455638,48833.2955425215,53772.5546477344,52507,50276.687394519,52678.494648939,51941.5745585415,55998.0503354551,60661.7388687733,70266.2868183266,71732.1151499023,65190.5998220698,62818.6527959377,65928.7558292745,75450.528968224,84024.2339366775,76643.0641141036,86080.3761666348,
